PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,pressure_score,quality_score
CW982,R523,ADS coursework,03/10/2021,24,Wednesday,00:00:00,00:00:00,0,-2,3,3
CW982,UD415,ADS coursework,03/10/2021,24,Wednesday,00:15:00,02:00:00,105,-2,3,3
CW982,UD415,missing,03/10/2021,24,Wednesday,02:15:00,03:15:00,60,2,0,2
S801,S801,missing,03/10/2021,24,Wednesday,03:30:00,09:15:00,345,2,0,2
S801,S801,LOIL,03/10/2021,24,Wednesday,09:30:00,09:45:00,15,-1,2,1
O733,UD415,LOIL,03/10/2021,24,Wednesday,10:00:00,11:15:00,75,-1,2,1
R523,R523,LOIL,03/10/2021,24,Wednesday,11:30:00,12:15:00,45,-1,2,1
L418,L418,Social Media,03/10/2021,24,Wednesday,12:30:00,13:45:00,75,2,0,2
ED145,ED145,Cooking,03/10/2021,24,Wednesday,14:00:00,15:00:00,60,1,0,2
R523,R523,Recorded Videos,03/10/2021,24,Wednesday,15:15:00,17:00:00,105,-1,2,2
X893,X893,Jog,03/10/2021,24,Wednesday,17:15:00,18:15:00,60,2,0,3
L418,UD415,Playstation,03/10/2021,24,Wednesday,18:30:00,19:30:00,60,2,0,2
CW982,UD415,ML coursework,03/10/2021,24,Wednesday,19:45:00,23:45:00,240,-2,5,2
CW982,R523,ADS coursework,03/10/2021,24,Wednesday,00:00:00,00:00:00,0,-2,3,3
CW982,UD415,ADS coursework,03/10/2021,24,Wednesday,00:15:00,02:00:00,105,-2,3,3
CW982,UD415,missing,03/10/2021,24,Wednesday,02:15:00,03:15:00,60,2,0,2
S801,S801,missing,03/10/2021,24,Wednesday,03:30:00,09:15:00,345,2,0,2
S801,S801,LOIL,03/10/2021,24,Wednesday,09:30:00,09:45:00,15,-1,2,1
O733,UD415,LOIL,03/10/2021,24,Wednesday,10:00:00,11:15:00,75,-1,2,1
R523,R523,LOIL,03/10/2021,24,Wednesday,11:30:00,12:15:00,45,-1,2,1
L418,L418,Social Media,03/10/2021,24,Wednesday,12:30:00,13:45:00,75,2,0,2
ED145,ED145,Cooking,03/10/2021,24,Wednesday,14:00:00,15:00:00,60,1,0,2
R523,R523,Recorded Videos,03/10/2021,24,Wednesday,15:15:00,17:00:00,105,-1,2,2
X893,X893,Jog,03/10/2021,24,Wednesday,17:15:00,18:15:00,60,2,0,3
L418,UD415,Playstation,03/10/2021,24,Wednesday,18:30:00,19:30:00,60,2,0,2
CW982,UD415,ML coursework,03/10/2021,24,Wednesday,19:45:00,23:45:00,240,-2,5,2
CW982,R523,ADS coursework,03/10/2021,24,Wednesday,00:00:00,00:00:00,0,-2,3,3
CW982,UD415,ADS coursework,03/10/2021,24,Wednesday,00:15:00,03:15:00,180,2,3,3
S801,S801,missing,03/10/2021,24,Wednesday,03:30:00,09:45:00,375,2,2,2
O733,UD415,Social Media,03/10/2021,24,Wednesday,10:00:00,11:15:00,75,-1,2,1
R523,R523,LOIL,03/10/2021,24,Wednesday,11:30:00,12:15:00,45,-1,2,1
L418,L418,Social Media,03/10/2021,24,Wednesday,12:30:00,13:45:00,75,2,0,2
ED145,ED145,Cooking,03/10/2021,24,Wednesday,14:00:00,15:00:00,60,1,0,2
R523,R523,Recorded Videos,03/10/2021,24,Wednesday,15:15:00,17:00:00,105,-1,2,2
X893,X893,Jog,03/10/2021,24,Wednesday,17:15:00,18:15:00,60,2,0,3
L418,UD415,Playstation,03/10/2021,24,Wednesday,18:30:00,19:30:00,60,2,0,2
CW982,UD415,ML coursework,03/10/2021,24,Wednesday,19:45:00,23:45:00,240,-2,5,2
