PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,Short sleep,2021/3/7,23,Sunday,4:00:00,9:00:00,300,0,,
O733,,Showering,2021/3/7,23,Sunday,9:00:00,9:30:00,30,1,,
O733,,Conference call,2021/3/7,23,Sunday,10:00:00,10:15:00,15,-1,,
UD415,L418,Watching live events,2021/3/7,23,Sunday,10:15:00,11:30:00,75,2,,
ED145,,Lunch out,2021/3/7,23,Sunday,11:30:00,12:30:00,60,2,,
L418,R523,Reading book,2021/3/7,23,Sunday,12:45:00,13:30:00,45,1,,
S801,,Afternoon nap,2021/3/7,23,Sunday,13:30:00,15:00:00,90,2,,
CW982,,Writing/running code,2021/3/7,23,Sunday,15:00:00,18:00:00,180,-2,1,390
CW982,,Building spreadsheet,2021/3/7,23,Sunday,18:00:00,19:00:00,60,-1,1,390
H179,,Laundry,2021/3/7,23,Sunday,19:00:00,19:45:00,45,-2,,
ED145,,Dinner,2021/3/7,23,Sunday,19:45:00,20:00:00,15,0,,
X893,,Long walk,2021/3/7,23,Sunday,20:15:00,21:15:00,60,1,,
CW982,,Code/Report,2021/3/7,23,Sunday,21:30:00,23:00:00,90,-2,0,390
UD415,L418,Browsing videos,2021/3/7,23,Sunday,23:00:00,23:30:00,30,1,,
O733,,Clean up before bed,2021/3/7,23,Sunday,23:30:00,23:45:00,15,0,,
S801,,,2021/3/7,23,Sunday,23:45:00,8:00:00,495,2,,
O733,,Morning clean up,2021/3/8,24,Monday,8:00:00,8:15:00,15,0,,
X893,,Jogging,2021/3/8,24,Monday,8:15:00,8:45:00,30,0,,
UD415,L418,Watching live events,2021/3/8,24,Monday,9:00:00,10:00:00,60,2,,
H179,,Grocery Shopping,2021/3/8,24,Monday,10:00:00,11:00:00,60,0,,
H179,,Cooking,2021/3/8,24,Monday,11:00:00,11:30:00,30,1,,
ED145,,Lunch,2021/3/8,24,Monday,11:30:00,12:00:00,30,2,,
H179,,Washing dishes,2021/3/8,24,Monday,12:00:00,12:15:00,15,-2,,
UD415,L418,Browsing videos,2021/3/8,24,Monday,12:15:00,13:30:00,75,1,,
EL642,R523,Reading course material,2021/3/8,24,Monday,13:30:00,15:30:00,120,-2,,
CW982,,Coding,2021/3/8,24,Monday,15:30:00,16:30:00,60,-1,3,495
UD415,L418,Web browsing,2021/3/8,24,Monday,16:30:00,18:00:00,90,1,,
H179,,Cooking,2021/3/8,24,Monday,18:00:00,18:15:00,15,0,,
ED145,,Dinner,2021/3/8,24,Monday,18:15:00,18:30:00,15,1,,
H179,,Washing dishes,2021/3/8,24,Monday,18:30:00,18:45:00,15,-2,,
X893,,Long walk,2021/3/8,24,Monday,18:45:00,20:00:00,75,1,,
UD415,,Phone call,2021/3/8,24,Monday,20:00:00,20:30:00,30,1,,
CW982,,Coding,2021/3/8,24,Monday,20:30:00,22:00:00,90,-2,3,495
UD415,L418,Browsing videos,2021/3/8,24,Monday,22:00:00,0:30:00,150,1,,
O733,,Clean up before bed,2021/3/9,24,Tuesday,0:30:00,0:45:00,15,0,,
S801,,,2021/3/9,24,Tuesday,1:00:00,9:00:00,480,2,,
O733,,Morning clean up,2021/3/9,24,Tuesday,9:00:00,9:15:00,15,0,,
X893,,Jogging,2021/3/9,24,Tuesday,9:30:00,10:00:00,30,1,,
UD415,EL642,Reading articles,2021/3/9,24,Tuesday,10:15:00,11:15:00,60,-2,,
UD415,L418,Browsing videos,2021/3/9,24,Tuesday,11:15:00,11:45:00,30,1,,
H179,,Pick up lunch,2021/3/9,24,Tuesday,11:45:00,12:00:00,15,0,,
ED145,,Lunch,2021/3/9,24,Tuesday,12:00:00,12:15:00,15,1,,
H179,,Chores,2021/3/9,24,Tuesday,12:30:00,13:30:00,60,-2,,
S801,,Afternoon nap,2021/3/9,24,Tuesday,13:30:00,14:00:00,30,2,,
CW982,,Coding,2021/3/9,24,Tuesday,14:00:00,16:00:00,120,-2,3,510
O733,,Job interview,2021/3/9,24,Tuesday,16:00:00,16:45:00,45,-2,,
UD415,L418,Web browsing,2021/3/9,24,Tuesday,16:45:00,17:15:00,30,1,,
EL642,,Lab/LOIL sessions,2021/3/9,24,Tuesday,17:15:00,19:15:00,120,-1,,
ED145,,Lunch leftovers,2021/3/9,24,Tuesday,19:15:00,19:30:00,15,1,,
UD415,L418,Web browsing,2021/3/9,24,Tuesday,19:30:00,20:15:00,45,2,,
EL642,,Lab/LOIL sessions,2021/3/9,24,Tuesday,20:15:00,22:15:00,120,-2,,
CW982,,Coding/Report,2021/3/9,24,Tuesday,22:15:00,23:15:00,60,-2,5,510
EL642,,Lab/LOIL sessions,2021/3/9,24,Tuesday,23:15:00,0:45:00,90,-2,,
UD415,L418,Browsing videos,2021/3/9,24,Tuesday,0:45:00,1:15:00,30,1,,
O733,,Clean up before bed,2021/3/9,24,Tuesday,1:15:00,1:30:00,15,0,,
S801,,,2021/3/10,24,Wednesday,1:30:00,9:15:00,465,2,,
