PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,,2021-03-08,24,Monday,00:45:00,09:00:00,495,,,
O733,,,2021-03-08,24,Monday,09:00:00,09:30:00,30,,,
ED145,,,2021-03-08,24,Monday,09:30:00,10:00:00,30,,,Healthy
CW982,UD415,,2021-03-08,24,Monday,10:00:00,12:00:00,120,0.0,1.0,
ED145,,,2021-03-08,24,Monday,12:00:00,12:15:00,15,,,Neutral
CW982,UD415,,2021-03-08,24,Monday,12:15:00,13:45:00,90,,0.0,
T695,,,2021-03-08,24,Monday,13:45:00,14:00:00,15,,,
X893,,,2021-03-08,24,Monday,14:00:00,15:15:00,75,1.0,2.0,
T695,,,2021-03-08,24,Monday,15:15:00,15:30:00,15,,,
O733,,,2021-03-08,24,Monday,15:30:00,15:45:00,15,,,
ED145,,,2021-03-08,24,Monday,15:45:00,16:00:00,15,,,Healthy
CW982,UD415,,2021-03-08,24,Monday,16:00:00,18:00:00,120,-1.0,0.0,
O733,,Playing Guitar,2021-03-08,24,Monday,18:00:00,19:00:00,60,2.0,1.0,
ED145,,,2021-03-08,24,Monday,20:00:00,20:30:00,30,,,Neutral
CW982,UD415,,2021-03-08,24,Monday,20:30:00,21:30:00,60,,0.0,
UD415,,,2021-03-08,24,Monday,21:30:00,22:30:00,60,,,
ED145,,,2021-03-08,24,Monday,22:30:00,22:45:00,15,,,Unhealthy
L418,UD415,Netflix,2021-03-08,24,Monday,22:45:00,00:30:00,105,2.0,,
O733,,,2021-03-09,24,Tuesday,00:30:00,01:00:00,30,,,
S801,,,2021-03-09,24,Tuesday,01:00:00,09:15:00,495,,,
O733,,,2021-03-09,24,Tuesday,09:15:00,09:45:00,30,,,
ED145,,,2021-03-09,24,Tuesday,09:45:00,10:00:00,15,,,Healthy
CW982,UD415,,2021-03-09,24,Tuesday,10:00:00,13:00:00,180,-1.0,-1.0,
ED145,,,2021-03-09,24,Tuesday,13:00:00,13:30:00,30,,,Healthy
CW982,UD415,,2021-03-09,24,Tuesday,13:30:00,16:00:00,150,0.0,,
O733,UD415,Playing Chess,2021-03-09,24,Tuesday,16:00:00,17:00:00,60,2.0,0.0,
CW982,UD415,,2021-03-09,24,Tuesday,17:00:00,19:00:00,120,,-1.0,
ED145,,,2021-03-09,24,Tuesday,19:30:00,20:00:00,30,,,Neutral
L418,,,2021-03-09,24,Tuesday,20:00:00,21:30:00,90,,,
O733,UD415,Call with friend,2021-03-09,24,Tuesday,21:30:00,22:30:00,60,1.0,,
UD415,,,2021-03-09,24,Tuesday,22:30:00,00:15:00,105,,,
O733,,,2021-03-10,24,Wednesday,00:15:00,00:30:00,15,,,
S801,,,2021-03-10,24,Wednesday,00:30:00,09:00:00,510,,,
O733,,,2021-03-10,24,Wednesday,09:00:00,09:30:00,30,,,
ED145,,,2021-03-10,24,Wednesday,09:30:00,10:00:00,30,,,Healthy
CW982,UD415,,2021-03-10,24,Wednesday,10:00:00,13:00:00,180,1.0,2.0,
ED145,,,2021-03-10,24,Wednesday,13:00:00,13:30:00,30,,,Healthy
CW982,UD415,,2021-03-10,24,Wednesday,13:30:00,17:00:00,210,,0.0,
T695,,,2021-03-10,24,Wednesday,17:15:00,17:30:00,15,,,
X893,,,2021-03-10,24,Wednesday,17:30:00,19:00:00,90,1.0,1.0,
T695,,,2021-03-10,24,Wednesday,19:00:00,19:15:00,15,,,
O733,,,2021-03-10,24,Wednesday,19:15:00,19:30:00,15,,,
ED145,,,2021-03-10,24,Wednesday,19:30:00,20:00:00,30,,,Neutral
CW982,UD415,,2021-03-10,24,Wednesday,20:00:00,21:00:00,60,-1.0,0.0,
O733,,Playing Guitar,2021-03-10,24,Wednesday,21:00:00,21:30:00,30,2.0,1.0,
O733,,Call with friend,2021-03-10,24,Wednesday,21:30:00,22:00:00,30,,,
ED145,,,2021-03-10,24,Wednesday,22:00:00,22:15:00,15,,,Unhealthy
L418,UD415,Netflix,2021-03-10,24,Wednesday,22:15:00,00:15:00,120,,,
O733,,,2021-03-11,24,Thursday,00:15:00,00:30:00,15,,,
